subject_id,subject,group,students,day,time,start,end,duration,room,room_capacity,room_type,teacher_id,teacher_name,tipo_aula
167409,Paradigmas de Programacion,1/1,26,Jueves,20:00-22:00,20,22,2,LAB1,28,practica,D006,Tiempo completo 6,practica
167410,Proyecto Integrador,1/1,11,Viernes,07:00-09:00,7,9,2,AULA_TIC,28,teorica,D002,Tiempo completo 2,teorica
167407,Redes,1/1,15,Miércoles,07:00-10:00,7,10,3,AULA_TIC,28,teorica,D009,Tiempo completo 9,teorica
167407,Redes,1/1,15,Jueves,07:00-10:00,7,10,3,FJ103-1_ALTO_RENDIMIENTO,28,practica,D009,Tiempo completo 9,practica
167408,Teoria de la Computacion,1/1,21,Martes,12:00-14:00,12,14,2,MF107,28,teorica,D008,Tiempo completo 8,teorica
167408,Teoria de la Computacion,1/1,21,Jueves,13:00-15:00,13,15,2,JG102-1_CICOM,28,practica,D008,Tiempo completo 8,practica
167411,Fundamentos de Computacion Paralela y Distribuida,1/1,20,Martes,15:00-18:00,15,18,3,MF106,28,teorica,D007,Tiempo completo 7,teorica
167411,Fundamentos de Computacion Paralela y Distribuida,1/1,20,Miércoles,13:00-16:00,13,16,3,JG102-1_CICOM,28,practica,D007,Tiempo completo 7,practica
167413,Sistemas Inteligentes,1/1,24,Lunes,07:00-10:00,7,10,3,MF108,28,teorica,D007,Tiempo completo 7,teorica
167413,Sistemas Inteligentes,1/1,24,Martes,19:00-22:00,19,22,3,JG102-2_TIC,28,practica,D007,Tiempo completo 7,practica
167412,Ingenieria de Software I,1/2,15,Viernes,07:00-09:00,7,9,2,MF108,28,teorica,D004,Tiempo completo 4,teorica
167412,Ingenieria de Software I,1/2,15,Jueves,14:00-16:00,14,16,2,FJ103-2_ING_SOFT,28,practica,D004,Tiempo completo 4,practica
167412,Ingenieria de Software I,2/2,15,Jueves,07:00-09:00,7,9,2,JG_211,28,teorica,D013,Catedra 1,teorica
167412,Ingenieria de Software I,2/2,15,Jueves,11:00-13:00,11,13,2,JG102-2_TIC,28,practica,D013,Catedra 1,practica
167414,Modelado y simulacion de Sistemas continuos,1/1,18,Lunes,16:00-19:00,16,19,3,CS_114,28,teorica,D003,Tiempo completo 3,teorica
167414,Modelado y simulacion de Sistemas continuos,1/1,18,Jueves,07:00-10:00,7,10,3,JG102-2_TIC,28,practica,D003,Tiempo completo 3,practica
167417,Ciencia de Datos,1/1,21,Viernes,20:00-22:00,20,22,2,MF108,28,teorica,D012,Tiempo completo 12,teorica
167417,Ciencia de Datos,1/1,21,Lunes,13:00-15:00,13,15,2,FJ103-1_ALTO_RENDIMIENTO,28,practica,D012,Tiempo completo 12,practica
167415,Ingenieria de Software II,1/1,28,Martes,12:00-14:00,12,14,2,MF108,28,teorica,D012,Tiempo completo 12,teorica
167415,Ingenieria de Software II,1/1,28,Jueves,15:00-17:00,15,17,2,LAB1,28,practica,D012,Tiempo completo 12,practica
167416,Legislacion Informatica y asuntos sociales,1/1,25,Jueves,07:00-09:00,7,9,2,MF107,28,teorica,D001,Tiempo completo 1,teorica
167416,Legislacion Informatica y asuntos sociales,1/1,25,Lunes,08:00-10:00,8,10,2,AULA_TIC,28,teorica,D001,Tiempo completo 1,teorica
167418,Modelado y Simulacion de Sistemas Discretos,1/1,22,Martes,10:00-12:00,10,12,2,AULA_TIC,28,teorica,D012,Tiempo completo 12,teorica
167418,Modelado y Simulacion de Sistemas Discretos,1/1,22,Lunes,07:00-09:00,7,9,2,JG102-2_TIC,28,practica,D012,Tiempo completo 12,practica
167420,Ingenieria de software III,1/1,22,Jueves,07:00-09:00,7,9,2,MF106,28,teorica,D002,Tiempo completo 2,teorica
167420,Ingenieria de software III,1/1,22,Miércoles,07:00-09:00,7,9,2,JG102-1_CICOM,28,practica,D002,Tiempo completo 2,practica
167421,Seguridad Informatica,1/1,26,Miércoles,20:00-22:00,20,22,2,MF106,28,teorica,D009,Tiempo completo 9,teorica
167421,Seguridad Informatica,1/1,26,Jueves,13:00-15:00,13,15,2,JG102-2_TIC,28,practica,D009,Tiempo completo 9,practica
